id	type	pattern	name	active	description	caseSensitive
1	regex	\b(?!\*+)(?:\d[ -]*?){13,16}\b	Credit Card Number	true	Matches credit card numbers that aren't masked	
2	regex	\b(?!\*+)[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}\b	Email Address	true	Matches email addresses that aren't masked	
3	regex	\b(?!\*+)(?:\d{3}[-.]?){2}\d{4}\b	SSN	true	Matches SSNs that aren't masked	
4	variable	(?:password|pwd|pass)\s*[:=]\s*['"](?!\*+)[^'"]+['"]	Password Assignment	true	Matches password assignments that aren't masked	
5	string	confidential	Confidential Reference	true	Matches confidential references	true
6	string	secret	Secret Reference	true	Matches secret references	true
7	variable	(?:api[_-]?key|apikey|api[_-]?token)\s*[:=]\s*['"](?!\*+)[A-Za-z0-9+/=._-]{8,}['"]	API Key Assignment	true	Matches API key assignments that aren't masked	
8	variable	(?:access[_-]?key|access[_-]?token|client[_-]?secret)\s*[:=]\s*['"](?!\*+)[A-Za-z0-9+/=._-]{8,}['"]	Access Key Assignment	true	Matches access key assignments that aren't masked	
9	variable	\$env:(?:api[_-]?key|apikey|access[_-]?key|secret|password)\s*=\s*['"](?!\*+)[A-Za-z0-9+/=._-]{8,}['"]	PowerShell Credentials	true	Matches PowerShell environment variables containing credentials	
10	variable	ConnectionString\s*=\s*['"](?:Data Source|Server)=[^;]+;(?:Initial Catalog|Database)=[^;]+;(?:User ?Id|UID)=[^;]+;(?:Password|PWD)=(?!\*+)[^;]+['"]	Connection String	true	Matches database connection strings with credentials	
11	regex	\b(?!\*+)(?:\d{10}\b|(?:\d{3}[-. ])(?:\d{3}[-. ])(?:\d{4}))	Phone Number	true	Matches phone numbers that aren't masked	
12	regex	\b(?!\*+)\d{1,5}\s[A-Z][a-z]+(?:\s[A-Z][a-z]+)*\s(?:Street|St|Avenue|Ave|Boulevard|Blvd|Road|Rd|Highway|Hwy|Lane|Ln|Drive|Dr|Court|Ct|Plaza|Plz|Terrace|Ter)\b,?\s*(?:[A-Z][a-z]+(?:\s[A-Z][a-z]+)*,?\s*)?(?:[A-Z]{2})\s*(?:\d{5})?(?:-\d{4})?\b	Physical Address	true	Matches physical addresses that aren't masked	
13	regex	\b(?!\*+)(?:[0-9A-F]{2}[:-]){5}[0-9A-F]{2}\b	MAC Address	true	Matches MAC addresses that aren't masked	
14	regex	\b(?!\*+)(?:(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.){3}(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\b	IPv4 Address	true	Matches IPv4 addresses that aren't masked	
15	regex	\b(?!\*+)(?:[0-9a-fA-F]{1,4}:){7}[0-9a-fA-F]{1,4}\b	IPv6 Address	true	Matches IPv6 addresses that aren't masked	
16	regex	-----BEGIN\s+(?:RSA|OPENSSH|DSA|EC|PGP)\s+PRIVATE\s+KEY-----(?!\*+)[\s\S]*?-----END\s+(?:RSA|OPENSSH|DSA|EC|PGP)\s+PRIVATE\s+KEY-----	Private Key	true	Matches private key files that aren't masked	
17	variable	(?:azure|aws|google)(?:_|\s)?(?:account|secret|subscription|key)\s*[:=]\s*['"](?!\*+)[A-Za-z0-9+/=._-]{8,}['"]	Cloud Provider Credentials	true	Matches cloud provider credentials that aren't masked	
18	regex	\bNMI\s*[:=]\s*['"]?(?!\*+)\d{10,11}['"]?	NMI Reference	true	Matches National Metering Identifier references that aren't masked	
19	variable	jwt\s*[:=]\s*['"](?!\*+)[A-Za-z0-9_\-.]+\.[A-Za-z0-9_\-.]+\.[A-Za-z0-9_\-.]+['"]	JWT Token Assignment	true	Matches JWT token assignments that aren't masked	
20	variable	Authorization\s*[:=]\s*['"](?!\*+)Bearer\s+[A-Za-z0-9._-]+['"]	Bearer Token Assignment	true	Matches Bearer token assignments that aren't masked	
21	variable	(?:client[_-]?(?:id|secret))\s*[:=]\s*['"](?!\*+)[A-Za-z0-9\-_.]{8,}['"]	OAuth Client Credentials	true	Matches OAuth client credentials that aren't masked	
22	variable	var\s+(?:config|settings)\s*=\s*\{[^}]*['"](?:apiKey|secretKey|authToken|password|credentials)['"]:\s*['"](?!\*+)[^'"]+['"]	JavaScript Config Secrets	true	Matches JavaScript configuration objects containing credentials	
23	regex	\b(?!\*+)[A-Za-z0-9+/]{40,}\b	Base64 Encoded Secret	true	Matches long Base64 encoded strings that might be secrets	
24	variable	(?:github|gitlab|bitbucket)\s*[:=]\s*['"](?!\*+)(?:ghp|glpat|gl-pat)_[A-Za-z0-9_-]{20,}['"]	Git Provider Token	true	Matches Git provider access tokens that aren't masked	
25	regex	\b(?:meter|customer|account|service)\s*id\s*[:=]\s*['"]?(?!\*+)\d{5,}['"]?	Utility Industry ID	true	Matches utility industry identifiers that aren't masked	
26	variable	(?:private|secret|auth)[_-]?key\s*[:=]\s*['"](?!\*+)[A-Za-z0-9+/=._-]{8,}['"]	Generic Secret Key	true	Matches generic secret or private key assignments	
27	variable	(?:encryption|crypto)[_-]?key\s*[:=]\s*['"](?!\*+)[A-Za-z0-9+/=._-]{16,}['"]	Encryption Key	true	Matches encryption or cryptographic key assignments	
28	regex	\b(?!\*+)4[0-9]{12}(?:[0-9]{3})?(?![0-9])\b	Visa Card	true	Matches Visa card numbers specifically	
29	regex	\b(?!\*+)5[1-5][0-9]{14}(?![0-9])\b	Mastercard	true	Matches Mastercard numbers specifically	
30	regex	\b(?!\*+)3[47][0-9]{13}(?![0-9])\b	American Express	true	Matches American Express card numbers specifically	
31	variable	(?:stripe|paypal)[_-]?(?:key|token|secret)\s*[:=]\s*['"](?!\*+)[A-Za-z0-9_-]{10,}['"]	Payment Provider Credentials	true	Matches payment provider API credentials	
32	variable	(?:firebase|mongodb|redis)[_-]?(?:url|uri|connection)\s*[:=]\s*['"](?!\*+)[^'"]+['"]	Database Connection URL	true	Matches database connection URLs with potential credentials	
33	regex	\b(?!\*+)(?:[0-9]{4}[- ]){3}[0-9]{4}\b	Credit Card with Spaces	true	Matches credit card numbers with consistent spacing	
34	variable	(?:session|cookie)[_-]?secret\s*[:=]\s*['"](?!\*+)[^'"]+['"]	Session Secret	true	Matches session or cookie secrets in web applications	
35	regex	\b(?!\*+)[A-Z0-9]{20,}\b	Generic API Key	true	Matches typical API key formats (20+ uppercase alphanumeric)	
